,TimeStamp,Title,URL
381,2020-04-29T16:48:46,Coronavirus: Antiviral drug <b>Remdesivir</b> performs well in trials,https://www.dailymail.co.uk/health/article-8269409/More-50-severe-coronavirus-patients-treated-remdesivir-recovered-trial-reveals.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
382,2020-04-29T16:40:32,Company says drug proved effective against virus in US study,https://economictimes.indiatimes.com/news/international/world-news/company-says-drug-proved-effective-against-virus-in-us-study/articleshow/75456691.cms
383,2020-04-29T16:31:00,GILD Stock: Buy Gilead Stock Because <b>Remdesivir</b> Is a Game-Changer,https://investorplace.com/2020/04/buy-gilead-stock-because-remdesivir-is-a-covid-19-game-changer/
384,2020-04-29T16:22:25,Fauci gives his blessing to <b>remdesivir</b> (NASDAQ:GILD),https://seekingalpha.com/news/3566138-fauci-gives-blessing-to-remdesivir?utm_source=feed_news_us_economy&utm_medium=referral
385,2020-04-29T16:05:55,Gilead Coronavirus Trial: <b>Remdesivir</b> Shows 5-Day COVID-19 Recovery,https://observer.com/2020/04/gilead-remdesivir-covid19-drug-trial-data-positive/
386,2020-04-29T15:53:29,<b>Remdesivir</b>: Randomized Trial By Chinese Government Claims No Clinical Benefits,https://www.science20.com/hank_campbell/remdesivir_randomized_trial_by_chinese_government_claims_no_clinical_benefits_but_confounders_are_huge-247590
387,2020-04-29T15:53:04,Lancet publishes results from inconclusive China study of Gilead's <b>remdesivir</b> (NASDAQ:GILD),https://seekingalpha.com/news/3566119-lancet-publishes-results-from-inconclusive-china-study-of-gileads-remdesivir
388,2020-04-29T15:40:02,SoftBank-backed OYO to offload more loss-making hotels amid pandemic: Sources,https://www.moneycontrol.com/news/business/softbank-backed-oyo-to-offload-more-loss-making-hotels-amid-pandemic-sources_13722981.html
389,2020-04-29T15:29:39,Gilead says Covid-19 patients responding to <b>remdesivir</b>,https://www.freemalaysiatoday.com/category/business/2020/04/29/gilead-says-covid-19-patients-responding-to-remdesivir/
390,2020-04-29T15:25:14,Gilead Sciences says <b>remdesivir</b> shows 'positive' signs in treatment,https://nypost.com/2020/04/29/gilead-sciences-says-remdesivir-shows-positive-signs-in-treatment/
391,2020-04-29T15:19:01,WH adviser Kudlow: Reports on Gilead's <b>remdesivir</b> suggest a positive for economy,https://www.fxstreet.com/news/wh-adviser-kudlow-reports-on-gileads-remdesivir-suggest-a-positive-for-economy-202004291519
392,2020-04-29T15:05:22,<b>Remdesivir</b> Shows Promising Results as a COVID-19 Treatment,https://time.com/5829170/remdesivir-study-results/
393,2020-04-29T14:39:10,"Experimental coronavirus treatment <b>remdesivir</b> delivers 'positive data' in trial, says developer Gilead",http://www.foxnews.com/science/experimental-coronavirus-treatment-remdesivir-delivers-positive-data-in-trial-says-developer-gilead.print
394,2020-04-29T14:22:47,Gilead says <b>remdesivir</b> trials show improvement for COVID-19 patients,http://feeds.reuters.com/~r/Reuters/UKTopNews/~3/XfyOX01YJDU/gilead-says-remdesivir-trials-show-improvement-for-covid-19-patients-idUKKBN22B1T7
395,2020-04-29T14:21:14,"Jefferies stays bullish, SunTrust cautious after Gilead's <b>remdesivir</b> results (NASDAQ:GILD)",http://seekingalpha.com/news/3566067-jefferies-stays-bullish-suntrust-cautious-after-gileads-remdesivir-results
396,2020-04-29T14:12:12,Gilead Claims Positive Data to Come From N.I.H. Trial of <b>Remdesivir</b>,https://www.nytimes.com/2020/04/29/health/gilead-remdesivir-coronavirus.html
397,2020-04-29T13:53:30,Dow jumps 400 points after Gilead coronavirus drug <b>remdesivir</b> showed promise,https://www.dailymail.co.uk/news/article-8269541/Dow-jumps-400-points-Gilead-coronavirus-drug-remdesivir-showed-promise.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
398,2020-04-29T13:50:35,Gilead soars 11% after reporting positive news on potential coronavirus treatment (GILD),http://feedproxy.google.com/~r/clusterstock/~3/0rRnw9e1dag/gilead-stock-price-remdesivir-potential-covid19-coronavirus-treatment-trial-results-2020-4-1029145352
399,2020-04-29T13:38:08,Gilead Announces Positive <b>Remdesivir</b> Data in U.S. Coronavirus Treatment Study,http://thestreet.com/video/gilead-announces-positive-remdesivir-data-in-us-coronavirus-treatment-study
400,2020-04-29T13:30:28,<b>Remdesivir</b>: FDA will reportedly authorize use for Covid-19 after trial shows 'positive effect' on recovery time,http://cnn.com/2020/04/29/health/gilead-sciences-remdesivir-covid-19-treatment
401,2020-04-29T13:30:28,Gilead Sciences says there are 'positive data' from a study on possible Covid-19 treatment <b>remdesivir</b>,https://auburnpub.com/lifestyles/health-med-fit/gilead-sciences-says-there-are-positive-data-from-a-study-on-possible-covid-19-treatment/article_a7a576ea-04b8-521e-8a5d-e4b9af0dfb87.html
402,2020-04-29T13:28:15,Gilead's <b>Remdesivir</b> meets main goal of trial in COVID-19 patients >> Watch Video,https://www.moneycontrol.com/video/business/gilead39s-remdesivir-meets-main-goaltrialcovid-19-patients_13722381.html
403,2020-04-29T13:02:49,Gilead shares +10% after <b>remdesivir</b> hits primary target (NASDAQ:GILD),http://seekingalpha.com/news/3566024-gilead-sharesplus-10-after-remdesivir-hits-primary-target
404,2020-04-29T12:59:20,US stock index futures rise sharply following Gilead Sciences' statement on <b>remdesivir</b>,https://www.fxstreet.com/news/us-stock-index-futures-rise-sharply-following-gilead-sciences-statement-on-remdesivir-202004291259
405,2020-04-29T12:57:00,Gilead says shorter <b>remdesivir</b> regimen is effective and drug met main goal in government study,https://www.marketwatch.com/story/gileads-stock-halted-says-remdesivir-met-primary-endpoint-in-government-study-2020-04-29?mod=jaimy-lee
